firm_year,ticker,company_name,sector,year,has_1c,total_keyword_hits,balance_score,balance_sufficient,primary_function,w_GV,w_ID,w_PR,w_DE,w_RS,w_RC,k_GV,k_ID,k_PR,k_DE,k_RS,k_RC
"SentinelOne, Inc. (2023)",S,"SentinelOne, Inc.",Cybersecurity,2023,False,529,0.5749,False,GV,0.6749,0.2004,0.0907,0.0057,0.0151,0.0132,357,106,48,3,8,7
"SentinelOne, Inc. (2024)",S,"SentinelOne, Inc.",Cybersecurity,2024,True,658,0.5751,False,GV,0.6793,0.1884,0.076,0.0167,0.0274,0.0122,447,124,50,11,18,8
"SentinelOne, Inc. (2025)",S,"SentinelOne, Inc.",Cybersecurity,2025,True,606,0.5623,False,GV,0.7013,0.1716,0.0677,0.0149,0.0281,0.0165,425,104,41,9,17,10
VARONIS SYSTEMS INC (2022),VRNS,VARONIS SYSTEMS INC,Cybersecurity,2022,False,269,0.6221,True,GV,0.5874,0.2714,0.1078,0.0149,0.0037,0.0149,158,73,29,4,1,4
VARONIS SYSTEMS INC (2023),VRNS,VARONIS SYSTEMS INC,Cybersecurity,2023,True,403,0.6144,True,GV,0.6179,0.2233,0.0918,0.0223,0.0248,0.0199,249,90,37,9,10,8
VARONIS SYSTEMS INC (2024),VRNS,VARONIS SYSTEMS INC,Cybersecurity,2024,True,401,0.6151,True,GV,0.616,0.2269,0.0898,0.0224,0.0249,0.02,247,91,36,9,10,8
VARONIS SYSTEMS INC (2025),VRNS,VARONIS SYSTEMS INC,Cybersecurity,2025,True,395,0.6147,True,GV,0.6203,0.2152,0.0911,0.0203,0.0278,0.0253,245,85,36,8,11,10
"HOULIHAN LOKEY, INC. (2022)",HLI,"HOULIHAN LOKEY, INC.",Finance,2022,False,142,0.4657,False,GV,0.8732,0.0563,0.0141,0.0,0.007,0.0493,124,8,2,0,1,7
"HOULIHAN LOKEY, INC. (2023)",HLI,"HOULIHAN LOKEY, INC.",Finance,2023,False,142,0.4549,False,GV,0.8944,0.0704,0.0141,0.0,0.007,0.0141,127,10,2,0,1,2
"HOULIHAN LOKEY, INC. (2024)",HLI,"HOULIHAN LOKEY, INC.",Finance,2024,True,225,0.4645,False,GV,0.8756,0.0711,0.0178,0.0044,0.0222,0.0089,197,16,4,1,5,2
"HOULIHAN LOKEY, INC. (2025)",HLI,"HOULIHAN LOKEY, INC.",Finance,2025,True,233,0.4707,False,GV,0.8627,0.0858,0.0172,0.0043,0.0215,0.0086,201,20,4,1,5,2
LendingClub Corp (2022),LC,LendingClub Corp,Finance,2022,False,334,0.5028,False,GV,0.7964,0.1557,0.018,0.009,0.003,0.018,266,52,6,3,1,6
LendingClub Corp (2023),LC,LendingClub Corp,Finance,2023,True,460,0.5196,False,GV,0.7739,0.1239,0.0196,0.013,0.0261,0.0435,356,57,9,6,12,20
LendingClub Corp (2024),LC,LendingClub Corp,Finance,2024,True,454,0.501,False,GV,0.804,0.1278,0.0198,0.011,0.0264,0.011,365,58,9,5,12,5
LendingClub Corp (2025),LC,LendingClub Corp,Finance,2025,True,492,0.4963,False,GV,0.813,0.1199,0.0183,0.0122,0.0264,0.0102,400,59,9,6,13,5
PROSPECT CAPITAL CORP (2022),PSEC,PROSPECT CAPITAL CORP,Finance,2022,False,558,0.4402,False,GV,0.9265,0.0179,0.0108,0.0143,0.0018,0.0287,517,10,6,8,1,16
PROSPECT CAPITAL CORP (2023),PSEC,PROSPECT CAPITAL CORP,Finance,2023,False,542,0.4413,False,GV,0.9244,0.0185,0.0111,0.0148,0.0018,0.0295,501,10,6,8,1,16
PROSPECT CAPITAL CORP (2024),PSEC,PROSPECT CAPITAL CORP,Finance,2024,True,588,0.4441,False,GV,0.9184,0.0136,0.0136,0.0136,0.0102,0.0306,540,8,8,8,6,18
PROSPECT CAPITAL CORP (2025),PSEC,PROSPECT CAPITAL CORP,Finance,2025,True,545,0.4454,False,GV,0.9156,0.0128,0.0165,0.0147,0.011,0.0294,499,7,9,8,6,16
"Upstart Holdings, Inc. (2022)",UPST,"Upstart Holdings, Inc.",Finance,2022,False,668,0.4883,False,GV,0.8293,0.0958,0.0404,0.0105,0.0165,0.0075,554,64,27,7,11,5
"Upstart Holdings, Inc. (2023)",UPST,"Upstart Holdings, Inc.",Finance,2023,True,767,0.5012,False,GV,0.8057,0.1082,0.0391,0.0104,0.03,0.0065,618,83,30,8,23,5
"Upstart Holdings, Inc. (2024)",UPST,"Upstart Holdings, Inc.",Finance,2024,True,800,0.4929,False,GV,0.8213,0.0975,0.0338,0.0112,0.0288,0.0075,657,78,27,9,23,6
"Upstart Holdings, Inc. (2025)",UPST,"Upstart Holdings, Inc.",Finance,2025,True,422,0.5325,False,GV,0.7559,0.1019,0.0427,0.019,0.0569,0.0237,319,43,18,8,24,10
VISA INC. (2022),V,VISA INC.,Finance,2022,False,165,0.5489,False,GV,0.7273,0.0909,0.1212,0.0242,0.0121,0.0242,120,15,20,4,2,4
VISA INC. (2023),V,VISA INC.,Finance,2023,False,195,0.5578,False,GV,0.7128,0.0923,0.1333,0.0256,0.0154,0.0205,139,18,26,5,3,4
VISA INC. (2024),V,VISA INC.,Finance,2024,True,324,0.5361,False,GV,0.75,0.071,0.0957,0.0247,0.0494,0.0093,243,23,31,8,16,3
VISA INC. (2025),V,VISA INC.,Finance,2025,True,340,0.5308,False,GV,0.7588,0.0794,0.0824,0.0265,0.0441,0.0088,258,27,28,9,15,3
"Electromed, Inc. (2022)",ELMD,"Electromed, Inc.",Healthcare,2022,False,2,0.4082,False,GV,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0
"Electromed, Inc. (2023)",ELMD,"Electromed, Inc.",Healthcare,2023,False,2,0.4082,False,GV,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0
"Electromed, Inc. (2024)",ELMD,"Electromed, Inc.",Healthcare,2024,True,71,0.4954,False,GV,0.8169,0.0704,0.0704,0.0,0.0423,0.0,58,5,5,0,3,0
"Electromed, Inc. (2025)",ELMD,"Electromed, Inc.",Healthcare,2025,True,71,0.4954,False,GV,0.8169,0.0704,0.0704,0.0,0.0423,0.0,58,5,5,0,3,0
JOHNSON & JOHNSON (2022),JNJ,JOHNSON & JOHNSON,Healthcare,2022,False,98,0.5517,False,GV,0.6939,0.2551,0.0102,0.0,0.0204,0.0204,68,25,1,0,2,2
JOHNSON & JOHNSON (2023),JNJ,JOHNSON & JOHNSON,Healthcare,2023,True,158,0.5576,False,GV,0.7025,0.1962,0.0443,0.0,0.0443,0.0127,111,31,7,0,7,2
JOHNSON & JOHNSON (2024),JNJ,JOHNSON & JOHNSON,Healthcare,2024,True,162,0.5631,False,GV,0.6914,0.2099,0.0432,0.0,0.037,0.0185,112,34,7,0,6,3
JOHNSON & JOHNSON (2025),JNJ,JOHNSON & JOHNSON,Healthcare,2025,True,166,0.5588,False,GV,0.6988,0.2048,0.0422,0.0,0.0361,0.0181,116,34,7,0,6,3
ELI LILLY & Co (2022),LLY,ELI LILLY & Co,Healthcare,2022,False,151,0.5624,False,GV,0.6689,0.2781,0.0464,0.0066,0.0,0.0,101,42,7,1,0,0
ELI LILLY & Co (2023),LLY,ELI LILLY & Co,Healthcare,2023,True,291,0.5318,False,GV,0.7457,0.1753,0.0447,0.0069,0.0206,0.0069,217,51,13,2,6,2
ELI LILLY & Co (2024),LLY,ELI LILLY & Co,Healthcare,2024,True,321,0.539,False,GV,0.7321,0.1869,0.0467,0.0062,0.0218,0.0062,235,60,15,2,7,2
ELI LILLY & Co (2025),LLY,ELI LILLY & Co,Healthcare,2025,True,351,0.544,False,GV,0.7236,0.1909,0.0484,0.0057,0.0256,0.0057,254,67,17,2,9,2
