ticker,company_name,sector,year,has_1c,yoy_similarity
MXL,"MAXLINEAR, INC",Semiconductors,2025,True,0.836
NKE,"NIKE, Inc.",Consumer Goods,2022,False,
NKE,"NIKE, Inc.",Consumer Goods,2023,False,0.8847
NKE,"NIKE, Inc.",Consumer Goods,2024,True,0.8594
NKE,"NIKE, Inc.",Consumer Goods,2025,True,0.865
NVEC,NVE CORP /NEW/,Semiconductors,2022,False,
NVEC,NVE CORP /NEW/,Semiconductors,2023,False,0.0069
NVEC,NVE CORP /NEW/,Semiconductors,2024,False,0.0069
NVEC,NVE CORP /NEW/,Semiconductors,2025,False,1.0
PANW,Palo Alto Networks Inc,Cybersecurity,2022,False,
PANW,Palo Alto Networks Inc,Cybersecurity,2023,False,0.6428
PANW,Palo Alto Networks Inc,Cybersecurity,2024,True,0.86
PANW,Palo Alto Networks Inc,Cybersecurity,2025,True,0.8213
PEP,PEPSICO INC,Consumer Goods,2022,False,
PEP,PEPSICO INC,Consumer Goods,2023,True,0.7955
PEP,PEPSICO INC,Consumer Goods,2024,True,0.824
PEP,PEPSICO INC,Consumer Goods,2025,True,0.8664
POWI,POWER INTEGRATIONS INC,Semiconductors,2022,False,
POWI,POWER INTEGRATIONS INC,Semiconductors,2023,True,0.7032
POWI,POWER INTEGRATIONS INC,Semiconductors,2024,True,0.8964
POWI,POWER INTEGRATIONS INC,Semiconductors,2025,True,0.5412
PRGS,PROGRESS SOFTWARE CORP /MA,Cybersecurity,2022,False,
PRGS,PROGRESS SOFTWARE CORP /MA,Cybersecurity,2023,True,0.6936
PRGS,PROGRESS SOFTWARE CORP /MA,Cybersecurity,2024,True,0.6588
PRGS,PROGRESS SOFTWARE CORP /MA,Cybersecurity,2025,True,0.8321
PSEC,PROSPECT CAPITAL CORP,Finance,2022,False,
PSEC,PROSPECT CAPITAL CORP,Finance,2023,False,0.7893
PSEC,PROSPECT CAPITAL CORP,Finance,2024,True,0.9115
PSEC,PROSPECT CAPITAL CORP,Finance,2025,True,0.8688
RPD,"Rapid7, Inc.",Cybersecurity,2022,False,
RPD,"Rapid7, Inc.",Cybersecurity,2023,True,0.783
RPD,"Rapid7, Inc.",Cybersecurity,2024,True,0.9144
RPD,"Rapid7, Inc.",Cybersecurity,2025,True,0.8898
S,"SentinelOne, Inc.",Cybersecurity,2022,False,
S,"SentinelOne, Inc.",Cybersecurity,2023,False,0.8494
S,"SentinelOne, Inc.",Cybersecurity,2024,True,0.8293
S,"SentinelOne, Inc.",Cybersecurity,2025,True,0.831
SCSC,"SCANSOURCE, INC.",Technology,2022,False,
SCSC,"SCANSOURCE, INC.",Technology,2023,False,0.8188
SCSC,"SCANSOURCE, INC.",Technology,2024,True,0.7762
SCSC,"SCANSOURCE, INC.",Technology,2025,True,0.7337
SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2022,False,
SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2023,False,0.7618
SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2024,True,0.8069
SFIX,"Stitch Fix, Inc.",Retail & E-Commerce,2025,True,0.7393
TSLA,"Tesla, Inc.",Automotive,2022,False,
TSLA,"Tesla, Inc.",Automotive,2023,True,0.8158
TSLA,"Tesla, Inc.",Automotive,2024,True,0.9271
TSLA,"Tesla, Inc.",Automotive,2025,True,0.7868
U,Unity Software Inc.,Technology,2022,False,
U,Unity Software Inc.,Technology,2023,True,0.7347
U,Unity Software Inc.,Technology,2024,True,0.8503
U,Unity Software Inc.,Technology,2025,True,0.7023
UPST,"Upstart Holdings, Inc.",Finance,2022,False,
UPST,"Upstart Holdings, Inc.",Finance,2023,True,0.7626
UPST,"Upstart Holdings, Inc.",Finance,2024,True,0.8382
UPST,"Upstart Holdings, Inc.",Finance,2025,True,0.4961
UPWK,"UPWORK, INC",Retail & E-Commerce,2022,False,
UPWK,"UPWORK, INC",Retail & E-Commerce,2023,True,0.5547
UPWK,"UPWORK, INC",Retail & E-Commerce,2024,True,0.6943
UPWK,"UPWORK, INC",Retail & E-Commerce,2025,True,0.7352
V,VISA INC.,Finance,2022,False,
V,VISA INC.,Finance,2023,False,0.7176
V,VISA INC.,Finance,2024,True,0.7051
V,VISA INC.,Finance,2025,True,0.6537
VKTX,"Viking Therapeutics, Inc.",Healthcare,2022,False,
VKTX,"Viking Therapeutics, Inc.",Healthcare,2023,True,0.8886
VKTX,"Viking Therapeutics, Inc.",Healthcare,2024,True,0.9047
VKTX,"Viking Therapeutics, Inc.",Healthcare,2025,True,0.8292
VRNS,VARONIS SYSTEMS INC,Cybersecurity,2022,False,
VRNS,VARONIS SYSTEMS INC,Cybersecurity,2023,True,0.875
VRNS,VARONIS SYSTEMS INC,Cybersecurity,2024,True,0.8679
VRNS,VARONIS SYSTEMS INC,Cybersecurity,2025,True,0.7742
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2022,False,
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2023,False,0.862
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2024,True,0.759
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2025,True,0.9402
